,wavelength,transmission
0,300.5,3.5815104531920073e-10
1,301.0,4.614701623942079e-10
2,301.5,5.840774260186193e-10
3,302.0,6.553402083304634e-10
4,302.5,7.805918613395014e-10
5,303.0,9.785494774867263e-10
6,303.5,1.1370402331716802e-09
7,304.0,1.2194822793156903e-09
8,304.5,1.400022387853057e-09
9,305.0,1.6956631504739012e-09
10,305.5,1.9359683752665066e-09
11,306.0,2.052365671406057e-09
12,306.5,2.1995867320165753e-09
13,307.0,2.5424671589561746e-09
14,307.5,2.929923766598269e-09
15,308.0,3.060088897177305e-09
16,308.5,3.2672650767718772e-09
17,309.0,3.4353534885557834e-09
18,309.5,3.909503980933511e-09
19,310.0,4.209535674347588e-09
20,310.5,4.287707412285711e-09
21,311.0,4.476908499068289e-09
22,311.5,4.5346862439674874e-09
23,312.0,4.9197499687289375e-09
24,312.5,5.203754646886596e-09
25,313.0,5.367858078159165e-09
26,313.5,5.241111877038289e-09
27,314.0,5.4674837106485745e-09
28,314.5,5.911823320025761e-09
29,315.0,6.0304692210404265e-09
30,315.5,5.839034864976321e-09
31,316.0,6.0443484699849645e-09
32,316.5,6.366628289855396e-09
33,317.0,6.4275596222438065e-09
34,317.5,6.306106631504019e-09
35,318.0,6.384075005839821e-09
36,318.5,6.754189211730817e-09
37,319.0,6.955343411888294e-09
38,319.5,6.682474399904009e-09
39,320.0,6.550028772411774e-09
40,320.5,6.93819945603341e-09
41,321.0,7.40704605771834e-09
42,321.5,7.5813220599542e-09
43,322.0,7.3644255997765485e-09
44,322.5,7.441782977990564e-09
45,323.0,7.733748428096696e-09
46,323.5,8.301579561807432e-09
47,324.0,8.54589053538975e-09
48,324.5,8.511452588291698e-09
49,325.0,8.283064002337334e-09
50,325.5,8.600617088849758e-09
51,326.0,8.994474998425996e-09
52,326.5,9.34418303231604e-09
53,327.0,9.451965752048505e-09
54,327.5,9.445369354199572e-09
55,328.0,9.278969227560912e-09
56,328.5,9.681435172190746e-09
57,329.0,1.0088933691543047e-08
58,329.5,1.0318217270919714e-08
59,330.0,1.0516335957639511e-08
60,330.5,1.0687041396969693e-08
